,speed[m/s],time,lap
m1x,4.581928544164384,7:16.5,1:49.1
m2+,4.45248295855103,7:29.2,1:52.3
m2-,4.702662348892773,7:05.3,1:46.3
m2x,4.985673180320191,6:41.1,1:40.3
m4+,5.061291598947719,6:35.2,1:38.8
m4-,5.206831272051204,6:24.1,1:36.0
m4x,5.456491757366994,6:06.5,1:31.6
m8+,5.712180797842848,5:50.1,1:27.5
w1x,4.133728208805639,8:03.8,2:01.0
w2-,4.25124701630557,7:50.5,1:57.6
w2x,4.448861775841266,7:29.6,1:52.4
w4+,4.508369732554259,7:23.6,1:50.9
w4x,4.860396166456732,6:51.5,1:42.9
w4x+,4.724539936004909,7:03.3,1:45.8
