,speed[m/s],time,lap
m1x,4.418110574334833,7:32.7,1:53.2
m2+,4.261881082356922,7:49.3,1:57.3
m2-,4.479677499386526,7:26.5,1:51.6
m2x,4.79319954057774,6:57.3,1:44.3
m4+,4.92111669037052,6:46.4,1:41.6
m4-,5.019477956928313,6:38.4,1:39.6
m4x,5.2688420282211155,6:19.6,1:34.9
m8+,5.604820455468143,5:56.8,1:29.2
w1x,3.9861536760865874,8:21.7,2:05.4
w2-,4.12772008665857,8:04.5,2:01.1
w2x,4.329971932099852,7:41.9,1:55.5
w4+,4.450738248543798,7:29.4,1:52.3
w4x,4.76522671905453,6:59.7,1:44.9
w4x+,4.671847738303299,7:08.1,1:47.0
