,speed[m/s],time,lap
m1x,4.298268737661715,7:45.3,1:56.3
m2+,4.253167678135469,7:50.2,1:57.6
m2-,4.601078176543524,7:14.7,1:48.7
m2x,4.725442820414173,7:03.2,1:45.8
m4+,4.80371479301158,6:56.3,1:44.1
m4-,5.069667741041712,6:34.5,1:38.6
m4x,5.1415292382007465,6:29.0,1:37.2
m8+,5.415439257398248,6:09.3,1:32.3
w1x,3.9285688525862383,8:29.1,2:07.3
w2-,4.1062393371692565,8:07.1,2:01.8
w2x,4.25060673327526,7:50.5,1:57.6
w4+,4.371642035360912,7:37.5,1:54.4
w4x,4.679071575284792,7:07.4,1:46.9
w4x+,4.433609161758795,7:31.1,1:52.8
