,speed[m/s],time,lap
m1x,4.166102105682967,8:00.1,2:00.0
m2+,4.399572284833994,7:34.6,1:53.6
m2-,4.535378545781441,7:21.0,1:50.2
m2x,4.637919543737894,7:11.2,1:47.8
m4+,4.810232444200665,6:55.8,1:43.9
m4-,4.967851496250205,6:42.6,1:40.6
m4x,4.943791912286542,6:44.5,1:41.1
m8+,5.503961338284171,6:03.4,1:30.8
w1x,3.7423243641151203,8:54.4,2:13.6
w2-,3.27127457599272,10:11.4,2:32.8
w2x,4.1851536663375555,7:57.9,1:59.5
w4+,4.512553499656487,7:23.2,1:50.8
w4x,4.637847703650685,7:11.2,1:47.8
w4x+,4.4906989494757,7:25.4,1:51.3
